Hour,Consumption Sma (kWh/h),Consumption Saft (kWh/h),Turbine Production (kWh/h),DH plant Consumption (kWh/h),FCR-N (EUR/MW),FCR-N (MW),FCR-D up (EUR/MW),FCR-D up (MW),FCR-D down (EUR/MW),FCR-D down (MW),Irradiance (Wh/m2),Day Ahead (EUR/MWh)
2023-01-24 08:00:00,309.25,2722.706,3771.528,652.44,41.3319914056225,0.0,40.3373479715302,5.5,16.4756007388384,2.9,36.39047638214498,245.07
2023-01-24 09:00:00,229.573,2710.091,3770.7599999999998,689.4639999999999,41.2299032128514,0.0,40.5215467124216,5.5,16.4935081864876,2.8,117.83766718300383,250.27
2023-01-24 10:00:00,278.66900000000004,2732.845,3770.7599999999998,639.6240000000003,41.0776031606426,0.0,40.6576888120658,5.5,16.3211426945871,2.9,178.09711359476967,232.93
2023-01-24 11:00:00,313.34499999999997,2684.118,3769.936,671.8000000000002,41.068711686747,0.0,40.8433751575737,5.5,16.4867492493086,2.9,202.13067041183984,224.46
2023-01-24 12:00:00,222.307,2657.1639999999998,3770.528,678.4320000000002,41.1010380240964,0.0,41.3879515638766,5.5,16.2357027973133,2.9,186.45046975665952,212.69
2023-01-24 13:00:00,288.338,2705.004,3771.1919999999996,646.4399999999996,41.0848243614458,0.0,41.3256260589631,5.5,16.2149124298696,2.9,133.2512588243544,201.11
2023-01-24 14:00:00,303.60999999999996,2559.8309999999997,3770.5119999999997,695.0799999999999,41.1061694779116,0.0,40.7282158793629,5.4,16.2491614381667,2.9,53.64424999893849,210.11
2023-01-24 15:00:00,281.402,2664.615,3557.584,633.5920000000001,40.3995568192771,0.0,40.978129398509,5.4,16.0297858736059,2.8,0.033906860538584466,212.75
2023-01-24 16:00:00,381.042,2594.547,3772.048,610.424,40.4212912048193,0.0,40.8489314368011,5.4,15.7062175307981,2.9,0.0,219.19
2023-01-24 17:00:00,362.51099999999997,2631.542,3770.648,605.8240000000001,40.6163211606426,0.0,41.096115452389,5.5,22.5941427243243,2.9,0.0,244.0
2023-01-24 18:00:00,306.418,2548.249,3770.872,613.5679999999998,40.9761250843373,0.0,40.9454793968146,5.3,22.691283231579,2.9,0.0,244.0
2023-01-24 19:00:00,266.26599999999996,2602.56,3770.736,600.9519999999998,41.3367824819277,0.0,40.9612154439173,5.4,46.2134625879099,2.9,0.0,206.0
2023-01-24 20:00:00,246.61299999999994,2613.842,3771.448,602.7439999999997,41.2091868505196,0.0,40.7172620439524,5.3,23.3721849308574,2.9,0.0,207.29
2023-01-24 21:00:00,231.676,2646.943,3771.4079999999994,632.0159999999996,41.4418296533333,0.0,40.597315298204,5.5,27.4292685736863,2.8,0.0,99.59
2023-01-24 22:00:00,206.39499999999998,2531.6969999999997,3771.136,650.8240000000001,44.5570418674699,0.0,40.5967767400881,5.3,29.4230597708416,2.9,0.0,25.05
2023-01-24 23:00:00,204.511,2581.8319999999994,3767.744,580.0480000000002,45.091589686747,0.0,40.69244170959,5.4,25.5747971987357,2.9,0.0,20.7
2023-01-25 00:00:00,192.39900000000003,2622.3559999999998,3771.8399999999997,578.8800000000001,49.2475743351268,0.7,40.6118555055038,6.2,58.5485876546594,2.8,0.0,13.55
2023-01-25 01:00:00,187.45899999999997,2478.9509999999996,3662.24,564.9839999999999,49.589076322361,0.7,40.6741336257409,8.4,43.3789996774194,2.8,0.0,9.0
2023-01-25 02:00:00,161.37699999999998,2549.1779999999994,3738.152,585.616,49.8047234954751,0.7,40.7041172582557,10.2,42.6032689547582,2.7,0.0,4.58
2023-01-25 03:00:00,168.794,2528.566,3721.24,572.712,50.2972669075253,0.7,40.6326195173582,9.4,49.3778813134094,2.8,0.0,4.1
2023-01-25 04:00:00,168.54600000000002,2515.984,3749.7119999999995,589.2479999999996,51.7641634616809,0.7,40.7017295935648,7.4,40.9083987254131,2.8,0.0,6.08
2023-01-25 05:00:00,177.792,2520.603,3763.5199999999995,582.7199999999993,50.1857414757282,0.7,39.7123205457627,5.9,32.2754404305284,2.8,0.0,11.18
2023-01-25 06:00:00,200.78399999999996,2705.0270000000005,3770.8079999999995,629.7679999999996,44.2186767876659,0.0,40.99962,5.1,19.1893035247836,2.8,0.0,52.11
2023-01-25 07:00:00,329.07599999999996,2762.724,3770.8,676.5680000000002,44.3827044417671,0.0,40.96982,5.1,18.414726355398,2.8,0.0,163.99
2023-01-25 08:00:00,321.327,2744.629,3770.5519999999997,669.1039999999998,49.8673323373494,0.0,41.17187,5.1,22.1120496367943,2.6,39.284434249978766,153.65
2023-01-25 09:00:00,254.37599999999998,2702.535,3771.136,680.8400000000001,43.3331535180723,0.0,41.23877,5.4,22.0889510505529,2.7,121.9288203536569,154.77
